CATEGORYID,ASSETDESC,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,KIEU,U_LV,U_DM,I_P_DM,U_MCOV,PHA,LOAI,CAP_PHONG_IEC,VAT_LIEU,CAP_CS
0110D00_CS,GIANG DIEN_T1_CS.1T1-A,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,A-T 64 CL2-TH,USING,HSX.00354,2024,TB040.00014,TB0632,PB-100031,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.74,PB-100040,PB-100043,PB-500869
0110D00_CS,B-T 64 CL2-TH,USING,HSX.00354,2024,TB040.00014,TB0632,PB-100031,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.74,PB-100040,PB-100043,PB-500869
0110D00_CS,C-T 64 CL2-TH,USING,HSX.00354,2024,TB040.00014,TB0632,PB-100031,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.74,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T1-A SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T1-B SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T1-C SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_C,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T2A SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_03,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T2B SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CS1T2C SĐ,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_C,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500869
0110D00_CS,CT08MTHCS172A -2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS172B - 2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_B,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS172C -2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_C,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS171A -2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS171B - 2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_B,TBI_CT_LOAI.73,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS171C -2025,USING,HSX.00354,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501776,EVN.PHA_C,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS1T1A -2025,USING,HSX.00311,2024,TB040.00006,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS1T1B - 2025,USING,HSX.00311,2024,TB040.00006,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500875
0110D00_CS,CT08MTHCS1T1C -2025,USING,HSX.00311,2024,TB040.00006,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.60,PB-100040,PB-100043,PB-500875
0110D00_CS,CHONGSET.CT05LONGHOA-CS1T1A,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05LONGHOA-CS1T1B,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05LONGHOA-CS1T1C,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05CAUMANG-CS1T1A,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05CAUMANG-CS1T1B,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05CAUMANG-CS1T1C,USING,HSX.00126,2024,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500871
0110D00_CS,TAM AN_T3_CS.1T3-A,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,TAM AN_T3_CS.1T3-B,USING,HSX.00354,2025,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,TAM AN_T3_CS.1T3-C,USING,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_C,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,GIANG DIEN_T1_CS.1T1-A,RETIRE,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-501775,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,GIANG DIEN_T1_CS.1T1-B,RETIRE,HSX.00354,2025,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,GIANG DIEN_T1_CS.1T1-C,RETIRE,HSX.00311,2024,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_C,TBI_CT_LOAI.61,PB-100040,PB-100042,PB-500870
0110D00_CS,DINH QUAN_T1_CS.1T1-A,USING,HSX.00035,1999,TB040.00018,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.3,PB-100040,PB-100042,PB-500870
0110D00_CS,CT08GOCONGTAY-CS1T2A-6/5/2018,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_03,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100043,PB-500871
0110D00_CS,CT08GCTCS1T1C - 7/6/2010,USING,HSX.00126,2007,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_03,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.36,PB-100040,PB-100042,PB-500871
0110D00_CS,CT14SONGDOC-CS1T1A-12/2017,USING,HSX.00311,2016,TB040.00021,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500869
0110D00_CS,CT14SONGDOC-CS1T1B-12/2017,USING,HSX.00311,2016,TB040.00021,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500869
0110D00_CS,CT14SONGDOC-CS1T1C-12/2017,USING,HSX.00311,2016,TB040.00021,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500869
0110D00_CS,CT02LUONGSONCS1T2A - 13/05/2018,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100042,PB-500871
0110D00_CS,CT02LUONGSONCS1T2B - 13/05/2018,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100042,PB-500871
0110D00_CS,CT02LUONGSONCS1T2C - 13/05/2018,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100042,PB-500871
0110D00_CS,CT14NGOCHIENCS1T2A-2009,USING,HSX.00126,2007,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.22,PB-100040,PB-100042,PB-500869
0110D00_CS,CT14NGOCHIENCS1T2B-2009,USING,HSX.00126,2007,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.22,PB-100040,PB-100042,PB-500869
0110D00_CS,CT14NGOCHIENCS1T2C-2009,USING,HSX.00126,2007,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.22,PB-100040,PB-100042,PB-500869
0110D00_CS,CT14AXCS1T1B-2005,USING,HSX.00277,2007,TB040.00012,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.56,PB-100040,PB-100043,PB-500869
0110D00_CS,CT14AXCS1T1C-2005,USING,HSX.00277,2007,TB040.00012,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.56,PB-100040,PB-100043,PB-500869
0110D00_CS,CSV 171 Cổ Chiên,USING,HSX.00311,2017,TB040.00002,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.3,PB-100040,PB-100042,PB-500871
0110D00_CS,CT14AX-CS1T2B-30/12/2016,USING,HSX.00354,2016,TB040.00014,TB0632,PB-100032,PB-100029,PB-100022,PB-500893,PB-100033,EVN.PHA_A,TBI_CT_LOAI.76,PB-100040,PB-100043,PB-500869
0110D00_CS,CT14AX-CS1T2C-30/12/2016,USING,HSX.00354,2016,TB040.00014,TB0632,PB-100032,PB-100029,PB-100022,PB-500893,PB-100033,EVN.PHA_A,TBI_CT_LOAI.76,PB-100040,PB-100043,PB-500869
0110D00_CS,TAN PHU_172_CS.172-A,USING,HSX.00126,2008,TB040.00134,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.33,PB-100040,PB-100043,PB-500870
0110D00_CS,TAN PHU_172_CS.172-B,USING,HSX.00126,2008,TB040.00134,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500870
0110D00_CS,TAN PHU_172_CS.172-C,USING,HSX.00126,2008,TB040.00134,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.23,PB-100040,PB-100043,PB-500870
0110D00_CS,TAN PHU_171_CS.171-A,USING,HSX.00311,2016,TB040.00006,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.66,PB-100040,PB-100042,PB-500870
0110D00_CS,TAN PHU_171_CS.171-B,USING,HSX.00311,2016,TB040.00006,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.66,PB-100040,PB-100042,PB-500870
0110D00_CS,TAN PHU_171_CS.171-C,USING,HSX.00311,2016,TB040.00006,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.66,PB-100040,PB-100042,PB-500870
0110D00_CS,CS1T1- B Cổ Chiên,USING,HSX.00311,2016,TB040.00002,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-501775,EVN.PHA_B,TBI_CT_LOAI.3,PB-100040,PB-100043,PB-500871
0110D00_CS,CT08GOCONG-CS1T1A-5/4/2018,USING,HSX.00126,2015,TB040.00012,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.36,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_171_CS.171-B,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-501776,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_171_CS.171-C,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-501776,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_171_CS.171-A,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-501776,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_172_CS.172-A,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_172_CS.172-B,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,ONG KEO_172_CS.172-C,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100031,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.73,PB-100040,PB-100042,PB-500871
0110D00_CS,CHONGSET.CT05TRANGBANG-CS131A-01/1998,USING,HSX.00542,1996,TB040.00014,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.52,PB-100040,PB-100042,PB-500871
0110D00_CS,CT08GOCONG-CS1T2A-20/3/2018,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.36,PB-100040,PB-100042,PB-500871
0110D00_CS,CT12LONGXUYEN2_CSC11C_26/11/2017,RETIRE,HSX.00311,2017,TB040.00006,TB0631,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CT17CULAODUNG-CS1T1B-14/6/2017,USING,HSX.00354,2016,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100042,PB-500871
0110D00_CS,CT17CULAODUNG-CS1T1C-14/6/2017,USING,HSX.00354,2016,TB040.00021,TB0632,PB-100032,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.77,PB-100040,PB-100042,PB-500871
0110D00_CS,CT19.BL.LA171-A-2018,USING,HSX.00354,2017,TB040.00014,TB0632,PB-100031,PB-100029,TBI_CT_MC_U_TT_05,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.76,PB-100041,PB-100043,PB-500869
